# ql-cvar-semantics.txt - what Quake Live's own menus say each cvar's values MEAN.
#
# Harvested from the cvarFloatList / cvarStrList entries in pak00's ui/*.menu
# files by tools/dump-cvar-semantics.py. NAMES AND LABELS ONLY - no menu markup,
# no layout, no art, nothing that is Quake Live's to distribute. Same standing as
# docs/pak-manifest.txt and docs/ql-menu-names.txt.
#
# WHY THIS FILE EXISTS. A cvar's default tells you almost nothing. cg_hitBeep
# defaults to "2" and neither that nor the name says whether 1 and 3 are louder,
# different, or off - so wiring one up meant inventing a scheme and calling it
# Quake Live's. That was the stated reason only four cvars got wired in E97.
# These lists are Quake Live answering the question itself.
#
# Read the VALUES, not just the count. Several are bitfields and the labels give
# it away: cg_specItemTimers runs 0 / 1 "Power-ups Only" / 7 "PU/MH/RA" / 15
# "All", which is three bits, not four settings. cg_drawItemPickups 0/3/7 and
# cg_crosshairHitStyle 0/1/2/6/7/8 are the same shape. A switch statement on
# those would be wrong in a way that looks right.
#
# A cvar being absent here means only that no menu exposes it - cg_hitBeep is
# absent and is still unwired for exactly that reason.
#
# Format: <cvar><TAB><value>=<label>, <value>=<label>, ...

bot_challenge	1=Yes, 0=No
bot_nochat	0=Yes, 1=No
bot_thinktime	0=Fast, 100=Normal, 200=Slow
cg_announcer	1=Default, 2=Vadrigar, 3=Daemia
cg_autoAction	0=None, 1=Demo, 2=Screenshot, 3=Demo + SS
cg_bob	0=No, 0.25=Low, 0.5=Medium, 1=High
cg_brassTime	0=No, 1000=Short, 2500=Normal, 5000=Long
cg_crosshairBrightness	0=No, .3=Low, .6=Medium, 1=Bright
cg_crosshairHitStyle	0=No, 1=Damage Color, 2=Color Flash, 6=Pulse, 7=Damage Pulse, 8=Color Pulse
cg_crosshairHitTime	100=Short, 200=Normal, 500=Long
cg_crosshairSize	32=Medium, 40=Large, 24=Small
cg_drawCrosshairNames	0=No, 1=Yes, 2=Teammates Only
cg_drawFullWeaponBar	1=All Available, 0=In Inventory
cg_drawGun	1=Normal, 2=Still, 3=Transparent, 0=Hidden
cg_drawInputCmds	0=No, 2=Yes
cg_drawItemPickups	0=No, 3=Yes, 7=Timestamped
cg_drawTeamOverlay	0=No, 1=Top, 2=Bottom
cg_flagStyle	1=Cloth, 2=Hologram
cg_followPowerup	0=No, 1=All Power-Ups, 2=Flags Only
cg_guny	18=Left, 3=Center, 0=Default, -10=Right
cg_hitbeep	0=No, 1=Single Pitch, 2=Descending, 3=Ascending
cg_impactSparksVelocity	-128=Down/Fast, -96=Down/Medium, -64=Down/Slow, 0=No, 64=Up/Slow, 96=Up/Medium, 128=Up/Fast
cg_kickScale	0=No, 0.25=Low, 0.5=Medium, 1=High
cg_killBeep	0=No, 1=Ting, 2=Tink, 3=Dramatic, 4=Voosh, 5=Drum, 6=Bang, 7=Ding, 8=ChaChing
cg_lagometer	0=No, 1=Basic, 2=Advanced
cg_leveltimerdirection	1=Count down, 0=Count up
cg_lightningStyle	1=Default QL, 2=QuakeWorld, 3=Team Arena, 4=Thin Shaft, 5=Wide Beam
cg_plasmaStyle	1=No Trail, 2=Particle Trails
